TY,T1,AU,JO,VL,SP,PY,DA,SN,DO,UR,KW,AB,EP,IS,T2,We,In
JOUR,Personalized sentiment classification of customer reviews via an interactive attributes attention model,"Zhang, You",Knowledge-Based Systems,226,107135,2021,2021/08/17/,0950-7051,https://doi.org/10.1016/j.knosys.2021.107135,https://www.sciencedirect.com/science/article/pii/S0950705121003981,Sentiment analysis,"Incorporating extra attributes of customer reviews, such as user and product information, to align text representations to each attribute has improved the sentiment polarity classification performance. Existing works only treated such attributes separately thus ignored the interactive information between these attributes. In this paper, we proposed an interactive attributes attention model that considered all attributes to be relevant and investigated the interactive relationships in and across separate features to improve the sentiment classification performance for customer reviews. In addition to the local text encoder, three more interactive attribute encoders, including user–product, user–text, and product–text encoders, are applied to extract implicit information to align attribute features to text representations with a bilinear interaction instead of self-attention. To better integrate different information, a multiloss objective function is used to further improve the performance. The comparative experiments on the IMDB, Yelp, and Amazon datasets show that the proposed model achieves significant improvements in the effects of the bilinear interactions in and across attributes and local text features.",,,,,
,,"Wang, Jin",,,,,,,,,Text classification,,,,,,
,,"Zhang, Xuejie",,,,,,,,,Sentence representation,,,,,,
,,,,,,,,,,,Bilinear attention,,,,,,
JOUR,Multi-source aggregated classification for stock price movement prediction,"Ma, Yu",Information Fusion,91,515,2023,2023/03/01/,1566-2535,https://doi.org/10.1016/j.inffus.2022.10.025,https://www.sciencedirect.com/science/article/pii/S1566253522002019,Stock prediction,"Predicting stock price movements is a challenging task. Previous studies mostly used numerical features and news sentiments of target stocks to predict stock price movements. However, their semantics-based sentiment analysis is sub-optimal to represent real market sentiments. Moreover, only considering the information of target companies is insufficient because the stock prices of target companies can be affected by their related companies. Thus, we propose a novel Multi-source Aggregated Classification (MAC) method for stock price movement prediction. MAC incorporates the numerical features and market-driven news sentiments of target stocks, as well as the news sentiments of their related stocks. To better represent real market sentiments from the news, we pre-train an embedding feature generator by fitting the news to real stock price movements. Embeddings given by the pre-trained sentiment classifier can represent the sentiment information in vector space. Moreover, MAC introduces a graph convolutional network to capture the news effects of related companies on the target stock. Finally, MAC can predict stock price movements for the next trading day based on the aforementioned features. Extensive experiments prove that MAC outperforms state-of-the-art baselines in stock price movement prediction, Sharpe Ratio, and backtesting trading incomes.",528,,,,
,,"Mao, Rui",,,,,,,,,Event-driven investing,,,,,,
,,"Lin, Qika",,,,,,,,,Multi-source aggregating,,,,,,
,,"Wu, Peng",,,,,,,,,Sentiment analysis,,,,,,
,,"Cambria, Erik",,,,,,,,,,,,,,,
JOUR,TraceNet: Tracing and locating the key elements in sentiment analysis,"Zhao, Qinghua",Knowledge-Based Systems,277,110792,2023,2023/10/09/,0950-7051,https://doi.org/10.1016/j.knosys.2023.110792,https://www.sciencedirect.com/science/article/pii/S0950705123005427,Language models,"We study sentiment analysis task where the outcomes are mainly contributed by a few key elements of the inputs. Motivated by the two-streams hypothesis, we explore processing input items and their weights separately by developing a neural architecture, named TraceNet, to address this type of task. It not only learns discriminative representations for the target task via its encoders, but also traces key elements at the same time via its locators. In TraceNet, both encoders and locators are organized in a layer-wise manner, and a smoothness regularization is employed between adjacent encoder-locator combinations. Moreover, a sparsity constraint is enforced on locators for tracing purposes and items are proactively masked according to the item weights output by locators. A major advantage of TraceNet is that the outcomes are easier to understand, as it identifies the key components responsible for the outcomes, making them easier to understand. The experimental results demonstrate its effectiveness in sentiment classification. Furthermore, we present case studies to showcase the interpretability of the model and conduct comprehensive analyses to highlight the impacts of each component.",,,,,
